Kategori,Fråga,Alternativ 1,Alternativ 2,Alternativ 3,Alternativ 4,Korrekt svar
Sverige,Hur många landskap finns det i Sverige?,25,21,15,30,25
Sverige,Vad heter Sveriges största sjö?,Vänern,Mälaren,Vättern,Siljan,Vänern
Sverige,Vilken är Sveriges nationalblomma?,Blåklint,Liten blåklocka,Skogsstjärna,Prästkrage,Liten blåklocka
Stockholm,Vad heter Stockholms smalaste gata?,Mårten Trotzigs gränd,Sveavägen,Birger Jarlsgatan,Surbrunnsgatan,Mårten Trotzigs gränd
Stockholm,Vem var det som grundade Stockholm stad?,Birger Jarl,Gustav Vasa,Valdemar Birgersson,Magnus Ladulås,Birger Jarl
Stockholm,I vilken stadsdel ligger Globen (officiellt Avicii Arena)?,Johanneshov,Bagarmossen,Liljeholmen,Midsommarkransen,Johanneshov
EU,Vilket av de här programmen/initiativen finansieras inte av EU?,Galileo,Erasmus+,Eurovision,Frontex,Eurovision
EU,Hur många stjärnor finns det i EU-flaggan?,6,12,28,50,12
EU,Vilket EU-land har flest landgränser med grannländer?,Slovenien,Tyskland,Frankrike,Grekland,Tyskland
Musik,Vilken svensk artist sjunger "Dancing Queen"?,Zara Larsson,ABBA,Avicii,Carola,ABBA
Musik,Vilken låt gjorde Avicii världsberömd?,"Wake Me Up","Hej Monika","Euphoria","Waterloo","Wake Me Up"
Musik,Vilken svensk artist vann Eurovision Song Contest 2012?,Måns Zelmerlöw,ABBA,Loreen,Robyn,Loreen
Fun Facts,Vad är en "fika"?,En snabb kopp kaffe i farten,Ett viktigt möte på jobbet,En paus för kaffe, bulle och livets djupa samtal,Ett kodord för att städa köket,En paus för kaffe, bulle och livets djupa samtal
Fun Facts,Vad är "lagom"?,En typ av maträtt,En svensk superkraft att alltid välja mittemellan,En stad i Sverige,Ett uttryck för något väldigt stort,En svensk superkraft att alltid välja mittemellan
Fun Facts,Vad är en vanlig svensk reaktion när någon ringer på dörren oväntat?,Öppnar direkt och bjuder in gästen,Låtsas att de inte är hemma,Börjar städa huset,Springer och kollar i kylskåpet,Låtsas att de inte är hemma
Java,Vilken metod används för att skriva ut text till konsolen i Java?,print(),println(),printf(),show(),println()
Java,Vilket nyckelord används för att skapa ett objekt i Java?,new,create,object,instance,new
Java,Vilken av följande är en korrekt definition av en array i Java?,int[] arr = {1, 2, 3};,array int arr = {1, 2, 3};,int arr = [1, 2, 3];,int arr = {1, 2, 3};,int[] arr = {1, 2, 3};